id,lesson,kana,kanji,romaji,meaning,category,source
411,5,くがつさんしゅうめのげつようび,九月第三月曜日,kugatsu daisan getsuyoubi,Senin ke-3 bulan September,info,mnn
412,5,くがつにじゅうににち,九月二十二日,kugatsu nijuu-ni nichi,22 September,info,mnn
413,5,くがつにじゅうさんにち,九月二十三日,kugatsu nijuu-san nichi,23 September,info,mnn

414,5,じゅうがつにしゅうめのげつようび,十月第二月曜日,juugatsu da-ni getsuyoubi,Senin ke-2 bulan Oktober,info,mnn
415,5,じゅういちがつみっか,十一月三日,juuichigatsu mikka,3 November,info,mnn
416,5,じゅういちがつにじゅうさんにち,十一月二十三日,juuichigatsu nijuu-san nichi,23 November,info,mnn

417,6,たべます,食べます,tabemasu,makan,core,mnn
418,6,のみます,飲みます,nomimasu,minum,core,mnn
419,6,すいます,吸います,suimasu,merokok / menghisap [rokok],core,mnn
420,6,みます,見ます,mimasu,melihat / menonton,core,mnn
421,6,ききます,聞きます,kikimasu,mendengar,core,mnn
422,6,よみます,読みます,yomimasu,membaca,core,mnn
423,6,かきます,書きます,kakimasu,menulis/menggambar,core,mnn
424,6,かいます,買います,kaimasu,membeli,core,mnn
425,6,とります,撮ります,torimasu,mengambil (foto) / memetik,core,mnn
426,6,します,,shimasu,melakukan,core,mnn
427,6,あいます,会います,aimasu,bertemu,core,mnn

428,6,ごはん,,gohan,nasi / makanan,core,mnn
429,6,あさごはん,朝ごはん,asagohan,sarapan,core,mnn
430,6,ひるごはん,昼ごはん,hirugohan,makan siang,core,mnn
431,6,ばんごはん,晩ごはん,bangohan,makan malam,core,mnn
432,6,パン,,pan,roti,core,mnn
433,6,たまご,卵,tamago,telur,core,mnn
434,6,にく,肉,niku,daging,core,mnn
435,6,さかな,魚,sakana,ikan,core,mnn
436,6,やさい,野菜,yasai,sayur-sayuran,core,mnn
437,6,くだもの,果物,kudamono,buah-buahan,core,mnn
438,6,みず,水,mizu,air,core,mnn
439,6,おちゃ,お茶,ocha,teh/teh jepang/teh hijau,core,mnn
440,6,こうちゃ,紅茶,koucha,teh hitam,core,mnn
441,6,ぎゅうにゅう,牛乳,gyuunyuu,susu,core,mnn
442,6,ジュース,,juusu,jus/sari buah,core,mnn
443,6,ビール,,biiru,bir,core,mnn
444,6,[お]さけ,[お]酒,osake,minuman keras beralkohol,core,mnn
445,6,たばこ,,tabako,rokok,core,mnn
446,6,ミルク,,miruku,susu secara umum(termasuk susu formula),core,mnn

447,6,てがみ,手紙,tegami,surat,core,mnn
448,6,レポート,,repooto,laporan,core,mnn
449,6,しゃしん,写真,shashin,foto,core,mnn
450,6,ビデオ テープ,,bideo teepu,kaset video / VHS,core,mnn
451,6,みせ,店,mise,toko,core,mnn
452,6,にわ,庭,niwa,halaman / taman,core,mnn
453,6,しゅくだい,宿題,shukudai,pekerjaan rumah / PR,core,mnn
454,6,しゅくだいをします,宿題をします,shukudai o shimasu,mengerjakan PR,core,mnn
455,6,テニス,,tenisu,tenis,core,mnn
456,6,テニスをします,,tenisu o shimasu,bermain tenis,core,mnn
457,6,サッカー,,sakkaa,sepak bola,core,mnn
458,6,サッカーをします,,sakkaa o shimasu,bermain sepak bola,core,mnn
459,6,おはなみ,お花見,ohanami,melihat bunga sakura,core,mnn
473,6,おはなみをします,お花見,ohanami o shimasu,melihat dan menikmati bunga sakura,core,mnn

460,6,なに,何,nani,apa,core,mnn
461,6,いっしょに,,issho ni,bersama-sama,core,mnn
462,6,ちょっと,,chotto,sebentar / sedikit,core,mnn
463,6,いつ,,itsu,kapan,core,mnn
464,6,ときどき,,tokidoki,kadang-kadang,core,mnn
465,6,いつも,,itsumo,selalu,core,mnn
466,6,それから,,sorekara,setelah itu / kemudian,info,mnn
467,6,そうですね,,sou desu ne,ya / benar (ungkapan setuju),info,mnn
468,6,ええ,,ee,ya (lebih sopan),info,mnn
469,6,いいですね,,ii desu ne,bagus ya / baik ya,info,mnn
470,6,わかりました,,wakarimashita,mengerti / baik,info,mnn
471,6,なんですか,,nan desu ka,apa?,info,mnn
472,6,じゃ、また[あした],,ja mata [ashita],oke sampai jumpa [besok],info,mnn

474,6,にんじん,人参,ninjin,wortel,ref,mnn
475,6,じゃがいも,,jagaimo,kentang,ref,mnn
476,6,たまねぎ,玉ねぎ,tamanegi,bawang,ref,mnn
477,6,レタス,,retasu,selada/letas,ref,mnn
478,6,きゅうり,胡瓜,kyuuri,timun/mentimun,ref,mnn
479,6,トマト,,tomato,tomat,ref,mnn
480,6,ピーマン,,piiman,paprika,ref,mnn
481,6,なす,茄子,nasu,terong,ref,mnn
482,6,キャベツ,,kyabetsu,kubis / kol,ref,mnn
483,6,ほうれんそう,ほうれん草,hourensou,bayam,ref,mnn
484,6,だいこん,大根,daikon,lobak,ref,mnn
485,6,かぼちゃ,南瓜,kabocha,labu,ref,mnn
486,6,ブロッコリー,,burokkorii,brokoli,ref,mnn
487,6,いんげん,,ingen,kacang panjang / kacang polong,ref,mnn
488,6,ねぎ,葱,negi,daun bawang,ref,mnn
489,6,はくさい,白菜,hakusai,sawi putih,ref,mnn

490,6,りんご,,ringo,apel,ref,mnn
491,6,みかん,,mikan,jeruk,ref,mnn
492,6,バナナ,,banana,pisang,ref,mnn
493,6,ぶどう,,budou,anggur,ref,mnn
494,6,もも,桃,momo,persik,ref,mnn
495,6,すいか,西瓜,suika,semangka,ref,mnn
496,6,さくらんぼ,,sakuranbo,ceri,ref,mnn
497,6,いちご,,ichigo,stroberi,ref,mnn
498,6,なし,梨,nashi,pir,ref,mnn
499,6,かき,柿,kaki,buah kesemek,ref,mnn

500,6,にく,肉,niku,daging,ref,mnn
501,6,ぶたにく,豚肉,butaniku,daging babi,ref,mnn
502,6,ぎゅうにく,牛肉,gyuuniku,daging sapi,ref,mnn
503,6,とりにく,鶏肉,toriniku,daging ayam,ref,mnn
504,6,ソーセージ,,sooseeji,sosis,ref,mnn
505,6,ハム,,hamu,ham,ref,mnn

506,6,さかな,魚,sakana,ikan,ref,mnn
507,6,すずき,鱸,suzuki,ikan gabus / seabass,ref,mnn
508,6,あじ,鯵,aji,ikan horse mackerel / aji,ref,mnn
509,6,いわし,鰯,iwashi,ikan sarden,ref,mnn
510,6,さば,鯖,saba,ikan kembung / makarel,ref,mnn
511,6,さんま,秋刀魚,sanma,ikan sauri pasifik,ref,mnn
512,6,ままかれい,真鰈,mamaka,ikan samma,ref,mnn
513,6,えび,海老,ebi,udang,ref,mnn
514,6,かに,蟹,kani,kepiting,ref,mnn
515,6,いか,烏賊,ika,cumi-cumi,ref,mnn
516,6,たこ,蛸,tako,gurita,ref,mnn
517,6,あさり,浅蜊,asari,kerang,ref,mnn
518,6,はまぐり,蛤,hamaguri,kerang,ref,mnn
519,6,しじみ,蜆,shijimi,kerang kecil,ref,mnn

520,6,たまご,卵,tamago,telur,ref,mnn
521,6,こめ,米,kome,beras,ref,mnn
522,6,まめ,豆,mame,kacang-kacangan,ref,mnn

523,7,きります,切ります,kirimasu,memotong/menggunting,core,mnn
524,7,おくります,送ります,okurimasu,mengirim (surat / paket),core,mnn
525,7,もらいます,,moraimasu,mendapatkan/menerima,core,mnn
526,7,あげます,,agemasu,memberi/memberikan,core,mnn
527,7,かします,貸します,kashimasu,meminjamkan/menyewakan,core,mnn
528,7,かります,借ります,karimasu,meminjam/menyewa,core,mnn
529,7,ならいます,習います,naraimasu,belajar (dari seseorang),core,mnn
530,7,かけます,,kakemasu,menelepon,core,mnn
531,7,あいます,会います,aimasu,bertemu (dengan teman / orang),core,mnn
532,7,でんわをかけます,電話をかけます,denwa o kakemasu,menelepon (dengan teman / orang),core,mnn

533,7,て,手,te,tangan,core,mnn
534,7,はし,箸,hashi,sumpit,core,mnn
535,7,スプーン,,supuun,sendok,core,mnn
536,7,ナイフ,,naifu,pisau,core,mnn
537,7,フォーク,,fooku,garpu,core,mnn
538,7,ハサミ,,hasami,gunting,core,mnn
539,7,コンピューター,,konpyuutaa,komputer / PC,core,mnn
540,7,ケータイ,携帯,keitai,HP / ponsel,core,mnn
541,7,メール,,meeru,e-mail,core,mnn
542,7,ねんがじょう,年賀状,nengajou,kartu tahun baru,core,mnn
543,7,パンチ,,panchi,pelubang kertas,core,mnn
544,7,ホッチキス,,hotchikisu,stapler,core,mnn
545,7,セロテープ,,seroteepu,selotip,core,mnn
546,7,けしゴム,消しゴム,keshigomu,penghapus karet,core,mnn
547,7,かみ,紙,kami,kertas,core,mnn
548,7,はな,花,hana,bunga,core,mnn
549,7,シャツ,,shatsu,kemeja,core,mnn
550,7,プレゼント,,purezento,kado / hadiah,core,mnn
551,7,もの,物,mono,barang,core,mnn
552,7,おかね,お金,okane,uang,core,mnn
553,7,きっぷ,切符,kippu,karcis,core,mnn
554,7,クリスマス,,kurisumasu,Natal,core,mnn
555,7,おとうさん,お父さん,otousan,bapak / ayah kandung / ayah orang lain,core,mnn
556,7,おかあさん,お母さん,okaasan,ibu kandung / ibu orang lain,core,mnn
557,7,もう,,mou,sudah,info,mnn
558,7,まだ,,mada,belum,info,mnn
559,7,これから,,korekara, mulai dari sekarang,info,mnn

560,7,ちち,父,chichi,bapak,core,mnn
561,7,はは,母,haha,ibu,core,mnn

562,7,いいですね,,ii desu ne,[~] bagus ya./[~] indah ya.,info,mnn
563,7,[~,] すてきですね,[~,] sutekidesune,[~] bagus ya./[~] indah ya.,info,mnn
564,7,いらっしゃいませ,,irasshaimase,selamat datang,info,mnn
565,7,どうぞおはいりください,,douzo ohairi kudasai, silakan masuk,info,mnn
566,7,どうぞおあがりください,,douzo oagari kudasai,silakan masuk,info,mnn
567,7,しつれいします,,shitsurei shimasu,permisi,info,mnn
568,7,[~は] いかがですか,[~wa] ikagadesuka,bagaimana [~]? (digunakan saat menawarkan sesuatu kepada orang),info,mnn
569,7,どうぞめしあがってください,,douzo meshiagatte kudasai,selamat makan (diucapkan sebelum minum/makan),info,mnn
570,7,いただきます,,itadakimasu,selamat makan (diucapkan sebelum minum/makan makanan),info,mnn
571,7,ごちそうさまでした,,gochisousama deshita,terimakasih atas hidangannya (diucapkan setelah makan),info,mnn
572,7,スペイン,,supein,Spanyol,core,mnn

573,7,かぞく,家族,kazoku,keluarga,ref,mnn
574,7,わたしのかぞく,私の家族,watashi no kazoku,keluarga saya,ref,mnn
575,7,そぼ,祖母,sobo,nenek,ref,mnn
576,7,そふ,祖父,sofu,kakek,ref,mnn
577,7,そふぼ,祖父母,sofubo,kakek nenek,ref,mnn
578,7,りょうしん,両親,ryoushin,orang tua,ref,mnn
579,7,いもうと,妹,imouto,adik perempuan,ref,mnn
580,7,おとうと,弟,otouto,adik laki-laki,ref,mnn
581,7,あね,姉,ane,kakak perempuan,ref,mnn
582,7,あに,兄,ani,kakak laki-laki,ref,mnn
583,7,きょうだい,兄弟,kyoudai,saudara,ref,mnn
584,7,つま,妻,tsuma,istri,ref,mnn
585,7,おっと,夫,otto,suami,ref,mnn
586,7,わたし,私,watashi,saya,ref,mnn
587,7,ふうふ,夫婦,fuufu,pasangan suami istri,ref,mnn
588,7,むすめ,娘,musume,anak perempuan,ref,mnn
589,7,むすこ,息子,musuko,anak laki-laki,ref,mnn
590,7,こども,子ども,kodomo,anak,ref,mnn

